TIME ZONE DATABASE GOTTEN FROM C++ CHRONO LIBRARY FUNCTION get_tzdb()

Database version: 2023c🛺.

[1].	Africa/Abidjan
[2].	Africa/Algiers
[3].	Africa/Bissau
[4].	Africa/Cairo
[5].	Africa/Casablanca
[6].	Africa/Ceuta
[7].	Africa/El_Aaiun
[8].	Africa/Johannesburg
[9].	Africa/Juba
[10].	Africa/Khartoum
[11].	Africa/Lagos
[12].	Africa/Maputo
[13].	Africa/Monrovia
[14].	Africa/Nairobi
[15].	Africa/Ndjamena
[16].	Africa/Sao_Tome
[17].	Africa/Tripoli
[18].	Africa/Tunis
[19].	Africa/Windhoek
[20].	America/Adak
[21].	America/Anchorage
[22].	America/Araguaina
[23].	America/Argentina/Buenos_Aires
[24].	America/Argentina/Catamarca
[25].	America/Argentina/Cordoba
[26].	America/Argentina/Jujuy
[27].	America/Argentina/La_Rioja
[28].	America/Argentina/Mendoza
[29].	America/Argentina/Rio_Gallegos
[30].	America/Argentina/Salta
[31].	America/Argentina/San_Juan
[32].	America/Argentina/San_Luis
[33].	America/Argentina/Tucuman
[34].	America/Argentina/Ushuaia
[35].	America/Asuncion
[36].	America/Bahia
[37].	America/Bahia_Banderas
[38].	America/Barbados
[39].	America/Belem
[40].	America/Belize
[41].	America/Boa_Vista
[42].	America/Bogota
[43].	America/Boise
[44].	America/Cambridge_Bay
[45].	America/Campo_Grande
[46].	America/Cancun
[47].	America/Caracas
[48].	America/Cayenne
[49].	America/Chicago
[50].	America/Chihuahua
[51].	America/Ciudad_Juarez
[52].	America/Costa_Rica
[53].	America/Cuiaba
[54].	America/Danmarkshavn
[55].	America/Dawson
[56].	America/Dawson_Creek
[57].	America/Denver
[58].	America/Detroit
[59].	America/Edmonton
[60].	America/Eirunepe
[61].	America/El_Salvador
[62].	America/Fort_Nelson
[63].	America/Fortaleza
[64].	America/Glace_Bay
[65].	America/Goose_Bay
[66].	America/Grand_Turk
[67].	America/Guatemala
[68].	America/Guayaquil
[69].	America/Guyana
[70].	America/Halifax
[71].	America/Havana
[72].	America/Hermosillo
[73].	America/Indiana/Indianapolis
[74].	America/Indiana/Knox
[75].	America/Indiana/Marengo
[76].	America/Indiana/Petersburg
[77].	America/Indiana/Tell_City
[78].	America/Indiana/Vevay
[79].	America/Indiana/Vincennes
[80].	America/Indiana/Winamac
[81].	America/Inuvik
[82].	America/Iqaluit
[83].	America/Jamaica
[84].	America/Juneau
[85].	America/Kentucky/Louisville
[86].	America/Kentucky/Monticello
[87].	America/La_Paz
[88].	America/Lima
[89].	America/Los_Angeles
[90].	America/Maceio
[91].	America/Managua
[92].	America/Manaus
[93].	America/Martinique
[94].	America/Matamoros
[95].	America/Mazatlan
[96].	America/Menominee
[97].	America/Merida
[98].	America/Metlakatla
[99].	America/Mexico_City
[100].	America/Miquelon
[101].	America/Moncton
[102].	America/Monterrey
[103].	America/Montevideo
[104].	America/New_York
[105].	America/Nome
[106].	America/Noronha
[107].	America/North_Dakota/Beulah
[108].	America/North_Dakota/Center
[109].	America/North_Dakota/New_Salem
[110].	America/Nuuk
[111].	America/Ojinaga
[112].	America/Panama
[113].	America/Paramaribo
[114].	America/Phoenix
[115].	America/Port-au-Prince
[116].	America/Porto_Velho
[117].	America/Puerto_Rico
[118].	America/Punta_Arenas
[119].	America/Rankin_Inlet
[120].	America/Recife
[121].	America/Regina
[122].	America/Resolute
[123].	America/Rio_Branco
[124].	America/Santarem
[125].	America/Santiago
[126].	America/Santo_Domingo
[127].	America/Sao_Paulo
[128].	America/Scoresbysund
[129].	America/Sitka
[130].	America/St_Johns
